"ID","Prefecture","Q1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q5","Q6","Q7","Q29","Q36","Q41","Q42_1","Q42_2","Q42_3","Q42_4","Q43_1","Q43_2","Q43_3","Q43_4","Q43_5","Q43_6","Q43_7","Q43_8","Q43_9","Q43_10","Q43_11","Q43_12","Q43_13","Q43_14","Q43_15","Q44_1","Q44_2","Q44_3","Q45_1_LDP","Q45_1_CDP","Q45_1_JRP","Q45_2_LDP","Q45_2_CDP","Q45_2_JRP","Q45_3_LDP","Q45_3_CDP","Q45_3_JRP","Q46_1","Q46_2","Q46_3","Q47","Q48","Q49_1","Q49_2","Q50","Q51","Q52","Q53","Q54"
516,"12",1,1,1,1,1,0,0,0,1,3,3,2,2,1,6,4,5,6,2,3,1,3,4,2,2,4,3,3,3,4,3,3,3,3,2,2,1,2,1,1,1,1,3,2,1,2,3,1,2,12,6,66,1,4,1,2,5
517,"12",1,1,1,0,0,0,0,0,1,1,2,1,1,1,8,4,6,7,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,3,3,4,3,3,2,2,2,1,11,6,66,2,5,1,2,3
518,"12",2,0,1,0,0,1,1,0,99,12,3,1,2,12,5,5,5,5,2,3,1,2,4,2,2,2,3,2,3,4,1,1,3,2,4,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,1,2,1,5,1,3,4
519,"12",99,0,1,0,0,1,0,0,1,1,3,2,99,1,5,0,4,2,2,3,3,2,4,2,3,4,3,3,4,2,2,2,3,3,4,2,2,3,2,2,3,3,2,2,2,1,4,1,2,6,1,2,2,4,1,5,3
520,"12",1,1,1,0,0,0,0,0,1,1,2,2,2,1,7,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,15,6,66,3,1,2,3,5
521,"12",2,1,1,0,0,0,0,0,2,1,2,1,1,1,7,6,2,5,2,3,3,2,2,2,2,3,1,2,3,4,3,2,3,3,2,3,1,3,1,2,3,2,3,1,3,2,1,2,2,10,5,66,2,4,2,3,4
522,"12",2,1,1,0,0,0,0,0,4,4,2,2,2,1,99,99,99,99,3,3,3,3,2,2,3,2,1,3,4,1,4,1,1,3,2,3,1,2,2,1,1,1,1,1,1,2,4,1,2,13,6,66,3,99,2,1,4
523,"12",99,1,1,0,0,1,0,0,1,1,2,99,99,1,6,3,3,5,2,3,2,3,3,3,3,3,3,4,4,3,2,3,2,3,3,2,1,4,2,4,1,2,5,2,3,2,3,2,1,9,2,2,2,5,2,3,3
524,"12",2,0,1,1,0,1,0,0,3,12,4,1,99,12,3,4,5,1,3,2,1,2,4,2,3,5,2,2,5,5,1,1,4,3,4,2,1,2,2,2,4,4,4,2,2,1,1,1,2,6,5,66,2,5,2,4,5
525,"12",2,1,1,0,0,1,0,0,99,3,3,99,99,12,0,0,0,0,1,2,2,3,3,4,3,4,2,3,5,3,2,2,4,4,2,2,1,5,1,3,3,3,5,3,3,2,2,1,2,9,5,66,2,2,2,4,4
526,"12",1,0,1,0,0,0,0,0,1,1,4,1,1,1,2,2,2,8,1,2,3,1,3,3,1,1,1,3,1,3,1,1,3,1,5,1,1,1,1,1,2,2,1,3,1,1,1,1,1,2,6,66,1,3,1,4,2
527,"12",1,0,1,0,0,1,0,0,1,1,2,1,99,1,6,5,5,7,2,3,2,3,5,4,2,2,2,2,2,2,3,3,3,2,5,2,1,3,3,2,3,3,4,3,3,2,2,3,2,8,1,2,2,99,99,99,99
528,"12",1,1,1,0,0,0,0,0,3,99,3,1,2,12,99,99,99,99,3,3,1,4,3,4,4,4,1,3,3,4,1,1,3,4,2,2,3,3,3,3,3,2,3,3,3,2,3,1,2,13,5,66,2,1,1,2,4
529,"12",2,0,1,0,0,1,0,0,1,12,4,1,1,12,5,2,3,1,1,1,3,2,3,2,2,4,1,3,3,2,1,1,3,3,4,1,2,4,3,3,3,2,3,2,2,1,1,2,1,7,1,2,2,4,4,1,5
530,"12",1,0,1,0,0,1,0,0,1,1,3,1,99,1,2,2,2,3,2,4,2,4,4,2,1,3,5,2,3,1,3,3,3,4,3,3,99,99,99,99,99,99,99,99,99,2,2,2,2,6,5,66,2,5,1,3,5
531,"12",1,0,1,0,0,1,0,0,3,12,4,2,2,12,5,4,6,5,2,3,2,3,4,2,2,5,1,3,5,3,1,1,2,2,4,1,2,2,2,2,2,1,2,2,1,2,2,2,2,6,2,3,2,4,2,3,4
532,"12",2,1,1,0,0,1,1,0,99,12,2,99,1,99,99,99,99,3,2,1,3,3,3,2,2,2,2,3,3,4,2,2,1,3,3,3,99,99,99,99,99,99,99,99,99,2,3,1,2,9,2,3,2,4,2,2,99
533,"12",1,1,1,1,0,0,0,0,4,4,2,2,2,4,99,99,99,99,2,1,3,3,3,2,2,4,2,2,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,14,2,2,3,1,2,1,5
534,"12",1,1,1,1,0,0,0,1,3,1,2,1,1,1,6,0,2,4,1,2,1,2,3,3,3,3,2,3,2,3,5,3,3,3,3,1,1,5,1,2,99,2,99,99,99,2,3,1,1,13,6,66,3,1,1,1,5
535,"12",1,0,0,1,0,1,0,0,3,8,3,2,1,12,5,4,6,5,3,5,1,5,5,2,2,3,3,3,3,5,1,1,1,3,3,4,1,2,3,3,3,3,5,5,5,1,3,1,1,5,1,2,2,5,1,4,3
536,"12",2,0,1,0,0,0,0,0,1,1,2,1,1,1,8,6,4,4,2,4,3,2,5,1,3,4,2,3,2,1,2,2,2,2,5,3,1,4,4,4,2,1,1,4,4,5,4,3,2,1,6,66,1,5,1,3,2
537,"12",99,0,1,0,0,0,0,0,2,2,2,2,1,1,5,8,2,5,2,3,2,3,4,2,2,3,2,3,2,4,2,2,3,4,4,3,1,2,3,1,3,3,4,2,2,3,3,3,1,15,6,66,3,2,2,2,5
538,"12",2,0,0,0,0,1,0,0,3,12,3,1,2,12,5,5,7,3,2,4,2,3,4,1,2,4,2,2,4,3,1,2,3,5,2,2,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,2,1,3,2,3,5
