year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp
2014,saitama,1,1,"TAKEMASA, KOICHI",DPJ,3,6,2,3608,53,4,2,82857,0,0,0
2005,osaka,15,0,"SAKAI, YUKI",DPJ,3,0,0,3109,37,3,2,82844,404445,6507,12750864
2005,ibaragi,3,1,"KOIZUMI, TOSHIAKI",DPJ,3,2,0,34,48,5,2,82841,377234,6508,19413715
2017,chiba,1,1,"KADOYAMA, HIROAKI",LDP,1,3,1,40069,53,4,1,82838,0,0,0
2017,yamaguchi,3,0,"KAWAMURA, TAKEO",LDP,1,9,1,69073,74,2,1,82837,0,0,0
2017,ibaraki,1,1,"FUKUSHIMA, NOBUYUKI",POH,39,2,0,39077,47,4,2,82835,0,0,0
2012,tokyo,21,1,"NAGASHIMA, AKIHISA",DPJ,3,4,1,3605,50,6,1,82831,381396,6201,8555939
2009,niigata,4,0,"KURIHARA, YOJI",LDP,1,0,0,3509,38,3,2,82826,321921,7303,2449995
2017,kanagawa,6,1,"UEDA, ISAMU",CGP,5,7,0,42078,59,3,2,82788,0,0,0
2003,miyagi,6,2,"ONODERA, ITSUNORI",LDP,1,2,1,5007,43,4,1,82750,244301,6707,9674115
2003,hokkaido,12,0,"MATSUKI, KENKO",DPJ,3,1,2,38,44,3,2,82731,333431,6607,14951597
2005,chiba,6,1,"UBUKATA, YUKIO",DPJ,3,3,0,3809,57,3,2,82636,338338,6402,8340090
2014,niigata,3,2,"KUROIWA, TAKAHIRO",DPJ,3,2,1,4901,48,3,1,82619,0,0,0
2014,kanagawa,12,1,"ABE, TOMOKO",DPJ,3,5,2,4201,66,4,2,82612,0,0,0
2000,saitama,2,1,"SHINDO, YOSHITAKA",LDP,1,2,1,3503,42,4,1,82581,410189,5709,23148244
2000,osaka,9,0,"OTANI, NOBUMORI",DPJ,3,1,1,3605,37,6,1,82563,414592,5605,8938982
2014,osaka,4,1,"NAKAYAMA, YASUHIDE",LDP,1,4,1,3809,44,4,1,82538,0,0,0
1996,shimane,3,2,"KAMEI, HISAOKI",LDP,1,2,1,5802,56,4,1,82526,192999,7501,10740655
2000,saitama,9,2,"IGARASHI, FUMIHIKO",DPJ,3,2,2,3602,51,3,2,82520,392410,5907,11167517
2000,tokyo,7,0,"NAGATSUMA, AKIRA",DPJ,3,1,1,3507,40,5,1,82502,417829,5703,3795557
2005,aichi,1,0,"SHINODA, YOSUKE",LDP,1,1,2,3901,32,4,2,82486,360007,5907,14409252
2005,akita,3,0,"KYONO, KIMIKO",DPJ,3,0,0,2908,55,3,2,82480,377644,7406,10408148
2014,osaka,18,0,"KAMITANI, NOBORU",LDP,1,1,2,4102,65,3,2,82460,0,0,0
2005,osaka,19,2,"MATSUNAMI, KENSHIRO",LDP,1,3,2,4303,58,3,2,82437,304320,65,7035146
2014,gifu,1,1,"NODA, SEIKO",LDP,1,8,1,5705,54,3,1,82434,0,0,0
2014,aichi,3,1,"KONDO, SHOICHI",DPJ,3,7,1,4105,56,5,1,82422,0,0,0
2014,saga,2,1,"OGUSHI, HIROSHI",DPJ,3,4,2,4001,49,3,2,82383,0,0,0
2012,aichi,12,1,"NAKANE, YASUHIRO",DPJ,3,3,2,29,50,5,2,82363,454656,6308,9679109
2014,nagasaki,3,1,"TANIGAKI, YAICHI",LDP,1,5,1,7202,73,2,1,82354,0,0,0
2014,tokyo,21,1,"NAGASHIMA, AKIHISA",DPJ,3,5,2,4008,52,3,2,82351,0,0,0
2000,ehime,3,1,"ONO, SHINYA",LDP,1,3,1,5305,45,4,1,82345,272549,5804,14461364
2017,kagawa,2,1,"TAMAKI, YUICHIRO",POH,39,3,1,55049,48,3,1,82345,0,0,0
2017,osaka,7,0,"TOKASHIKI, NAOMI",LDP,1,3,1,43063,55,3,1,82337,0,0,0
2012,kanagawa,18,2,"YAMAGIWA, DAISHIRO",LDP,1,3,1,4009,44,5,1,82333,351874,5901,6169806
2005,osaka,8,1,"NAKANO, KANSEI",DPJ,3,10,0,3906,64,3,2,82290,315559,6702,8784141
2003,kanagawa,6,1,"UEDA, ISAMU",CGP,5,4,1,3607,45,5,1,82269,373824,6102,9239301
2009,shiga,1,1,"UENO, KENICHIRO",LDP,1,1,0,3709,44,4,2,82262,308301,7101,10497097
2000,fukuoka,1,1,"MATSUMOTO, RYU",DPJ,3,4,1,4603,49,4,1,82241,336473,5408,6906266
2000,mie,3,0,"HIRATA, KOICHI",LDP,1,0,0,3708,51,3,2,82222,316444,70,7506587
2000,mie,5,0,"YAMAMURA, TAKESHI",DPJ,3,1,2,4405,43,3,2,82222,301489,6405,9267844
2009,kanagawa,18,1,"YAMAGIWA, DAISHIRO",LDP,1,2,0,35,40,5,2,82221,342219,6701,14169662
2005,miyazaki,3,0,"MOCHINAGA, TETSUJI",LDP,1,0,0,3906,45,3,2,82204,298981,7004,12578018
2003,osaka,12,1,"TARUTOKO, SHINJI",DPJ,3,4,1,4406,44,3,1,82190,344937,5408,8358751
2012,kanagawa,6,2,"UEDA, ISAMU",CGP,5,6,1,3704,54,4,1,82147,373384,6103,7659117
2012,nara,4,0,"TANOSE, TAIDO",LDP,1,1,1,5006,38,4,1,82125,263526,6305,10564751
2017,kagawa,3,1,"ONO, KEITARO",LDP,1,2,1,69009,48,2,1,82125,0,0,0
1996,tokyo,6,0,"IWAKUNI, TETSUNDO",NFP,8,1,1,3405,60,6,1,82106,433243,5509,12819832
1996,tokyo,1,1,"YOSANO, KAORU",LDP,1,6,1,3902,58,4,1,82098,384569,56,12856361
2017,hokkaido,11,1,"NAKAGAWA, YUKO",LDP,1,2,0,45053,58,2,2,82096,0,0,0
2012,nagasaki,1,1,"TAKAGI, YOSHIAKI",DPJ,3,8,2,4207,66,3,2,82088,349297,5608,12796086
2000,chiba,2,0,"NAGATA, HISAYASU",DPJ,3,1,1,3402,30,5,1,82074,397893,6105,13749939
2003,ishikawa,2,1,"ICHIKAWA, YASUO",DPJ,3,3,2,3908,61,3,2,82069,311564,6706,13717024
2012,okayama,2,0,"YAMASHITA, TAKASHI",LDP,1,1,1,5208,47,3,1,82061,288235,5506,19366527
2014,akita,2,1,"KANEDA, KATSUTOSHI",LDP,1,3,1,5407,65,3,1,82046,0,0,0
2009,toyama,1,1,"NAGASE, JINEN",LDP,1,7,2,4503,65,4,2,82040,261895,70,22218338
2012,tokyo,1,0,"YAMADA, MIKI",LDP,1,1,1,2903,38,9,1,82013,477631,6102,11889400
2000,hiroshima,3,0,"MASUHARA, YOSHITAKE",independent,99,1,1,4102,55,4,1,82012,333202,6103,3488408
2009,miyazaki,2,0,"DOKYU, SEIICHIRO",DPJ,3,0,2,39,56,4,2,81997,295965,7207,3592148
2003,kanagawa,3,0,"KATO, NAOHIKO",DPJ,3,1,2,3907,66,5,2,81996,389796,5407,6186526
2003,tokyo,10,1,"KOBAYASHI, KOKI",LDP,1,4,1,4502,59,4,1,81979,332694,5603,18096762
2017,osaka,15,1,"TAKEMOTO, NAOKAZU",LDP,1,7,1,43082,76,3,1,81968,0,0,0
2003,chiba,10,0,"YATAGAWA, HAJIME",independent,99,0,0,3706,40,5,2,81950,367073,6008,5810581
2012,aomori,2,1,"ETO, AKINORI",LDP,1,4,1,6502,57,4,1,81937,239623,5402,5638425
2003,saitama,13,1,"TSUCHIYA, SHINAKO",LDP,1,3,1,4302,51,5,1,81935,360549,5401,12365061
2000,tokyo,2,1,"FUKAYA, TAKASHI",LDP,1,8,0,3807,64,5,2,81923,338347,6406,21332262
2009,kyoto,1,1,"IBUKI, BUNMEI",LDP,1,9,2,3303,71,4,2,81913,381114,6507,17468736
2000,tokyo,9,0,"SUGAWARA, ISSHU",LDP,1,0,0,3306,38,4,2,81912,409647,6104,15194090
2003,hyogo,4,0,"TAKAHASHI, SHOICHI",DPJ,3,0,0,3506,39,3,2,81909,418431,5608,6148326
2003,kanagawa,17,0,"SAKAGUCHI, NAOTO",DPJ,3,0,0,3407,40,3,2,81900,422156,5705,7670654
2012,yamagata,2,1,"KONDO, YOSUKE",DPJ,3,4,2,3704,47,4,2,81832,337290,6601,10848259
2000,aichi,12,0,"NAKANE, YASUHIRO",DPJ,3,0,0,3107,37,6,2,81826,411027,6402,16919664
2000,fukuoka,9,2,"MIHARA, ASAHIKO",LDP,1,3,0,3409,53,4,2,81809,395934,6008,16711598
2000,hokkaido,4,2,"IKEDA, RYUICHIA",DPJ,3,1,0,3905,55,3,2,81805,323930,6507,20288779
2003,kanagawa,14,1,"NAKAMOTO, TAEI",LDP,1,1,0,3608,38,5,2,81794,411851,5505,0
1996,miyagi,3,1,"MITSUZUKA, HIROSHI",LDP,1,9,1,5301,69,3,1,81784,268143,5905,12548597
2012,chiba,5,2,"SONOURA, KENTARO",LDP,1,2,1,3503,40,7,1,81772,411147,5709,6592253
2012,nagasaki,4,1,"KITAMURA, SEIGO",LDP,1,5,1,5103,65,4,1,81771,275931,5907,5782254
2003,kanagawa,6,1,"IKEDA, MOTOHISA",DPJ,3,4,2,3605,62,5,2,81733,373824,6102,12442587
2005,mie,3,1,"HIRATA, KOICHI",LDP,1,2,2,3408,56,3,2,81719,326576,7206,10351545
2000,nagano,2,0,"SHIMOJO, MITSU",DPJ,3,0,0,3207,44,4,2,81710,384473,6605,12653412
2017,yamagata,3,2,"ABE, JUICHI",POH,39,1,0,41001,58,4,2,81708,0,0,0
2017,niigata,2,0,"HOSODA, KENICHI",LDP,1,2,2,4301,53,3,2,81705,0,0,0
2000,fukui,3,0,"TAKAGI, TSUYOSHI",LDP,1,1,1,5205,44,3,1,81698,214658,74,17992300
1996,fukuoka,10,1,"HIROTOMO, KAZUO",NFP,8,1,0,3704,52,4,2,81678,405912,5503,22265391
2017,kochi,1,1,"NAKATANI, GEN",LDP,1,9,1,53059,60,3,1,81675,0,0,0
2012,osaka,17,0,"BABA, NOBUYUKI",NIK,11,0,1,4402,47,6,1,81663,333086,5702,5294566
2000,saitama,14,0,"MITSUBAYASHI, TAKASHI",LDP,1,1,1,3707,46,6,1,81652,384693,5709,7443890
2000,osaka,19,1,"MATSUNAMI, KENSHIRO",CP,30,2,1,5301,53,4,1,81641,295298,5309,5246033
2003,chiba,13,1,"JITSUKAWA, YUKIO",LDP,1,4,1,4803,60,3,1,81625,299034,5801,7957352
2017,tokushima,2,0,"YAMAGUCHI, SHUNICHI",LDP,1,9,1,70096,67,3,1,81616,0,0,0
1996,osaka,15,0,"TAKEMOTO, NAOKAZU",LDP,1,1,1,3906,55,3,1,81602,389539,55,11932900
2003,tokyo,20,0,"SHIMIZU, SEIICHIRO",LDP,1,0,0,3702,56,3,2,81588,380991,6001,7571771
2009,tokushima,3,1,"GOTODA, MASAZUMI",LDP,1,4,1,4908,40,3,1,81581,218898,7508,14250466
2003,yamagata,1,1,"KANO, MICHIHIKO",DPJ,3,10,2,4004,61,4,2,81580,304436,6702,12687499
2017,shizuoka,3,2,"KOYAMA, NOBUHIRO",independent,99,2,0,37008,41,3,2,81568,0,0,0
2014,fukuoka,10,1,"YAMAMOTO, KOZO",LDP,1,7,1,4402,66,4,1,81567,0,0,0
